Country,2005-2006,2006-2007,2007-2008,2008-2009
Bulgaria,-1,0.0,0.1111111111111111,0.25
Tunisia,0.1111111111111111,-1,-1,-1
Hungary,-1,-1,0.25,0.0
"Congo, the Democratic Republic of the",-1,0.1111111111111111,0.25,0.25
United States Minor Outlying Islands,-1,-1,0.42857142857142855,0.25
Trinidad and Tobago,0.0,0.25,0.6666666666666666,0.25
Belgium,0.1111111111111111,0.1111111111111111,0.25,0.1111111111111111
Venezuela,0.1111111111111111,0.42857142857142855,0.6666666666666666,0.6666666666666666
Zimbabwe,-1,-1,0.1111111111111111,0.25
Netherlands,0.0,0.0,0.0,0.0
Ireland,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
Germany,0.0,0.1111111111111111,0.1111111111111111,0.0
Chile,0.25,0.1111111111111111,0.25,0.42857142857142855
Sweden,0.1111111111111111,0.1111111111111111,0.42857142857142855,0.0
Switzerland,0.6666666666666666,0.25,0.25,0.6666666666666666
Nicaragua,-1,-1,-1,-1
Croatia,-1,0.25,0.0,0.0
Colombia,-1,0.25,0.0,0.42857142857142855
China,0.1111111111111111,0.1111111111111111,0.25,0.0
Bosnia and Herzegovina,-1,-1,0.1111111111111111,0.42857142857142855
Poland,0.1111111111111111,0.1111111111111111,0.25,0.25
"Korea, Democratic People's Republic of",-1,-1,0.0,0.0
United States,0.25,0.42857142857142855,0.25,0.42857142857142855
Belarus,-1,-1,0.0,0.0
Morocco,-1,-1,0.0,0.1111111111111111
Slovakia,-1,0.1111111111111111,0.0,0.25
Malta,-1,0.0,0.1111111111111111,0.0
Serbia,-1,0.0,0.1111111111111111,0.42857142857142855
Argentina,0.25,0.1111111111111111,0.1111111111111111,0.1111111111111111
Lithuania,-1,0.25,0.0,0.0
Slovenia,-1,-1,0.0,0.1111111111111111
Iceland,-1,0.1111111111111111,0.1111111111111111,0.0
Peru,-1,0.42857142857142855,0.6666666666666666,0.1111111111111111
Norway,0.1111111111111111,0.42857142857142855,0.0,0.0
United Kingdom,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666
Finland,0.0,0.25,0.25,0.42857142857142855
British Indian Ocean Territory,0.0,0.1111111111111111,0.42857142857142855,0.25
Russian Federation,0.0,0.25,0.1111111111111111,0.0
Austria,0.25,0.1111111111111111,0.6666666666666666,0.25
Northern Mariana Islands,-1,0.25,0.0,0.0
Greece,-1,0.1111111111111111,0.0,0.25
Estonia,-1,0.0,0.1111111111111111,0.1111111111111111
Mexico,0.1111111111111111,0.1111111111111111,0.25,0.25
Turkey,0.0,0.1111111111111111,0.0,0.0
Thailand,0.0,0.0,0.42857142857142855,0.42857142857142855
Australia,0.0,0.1111111111111111,0.1111111111111111,0.25
Latvia,-1,0.0,0.0,0.25
Israel,-1,-1,-1,0.42857142857142855
New Zealand,0.1111111111111111,0.42857142857142855,0.25,0.1111111111111111
Singapore,-1,-1,0.1111111111111111,0.1111111111111111
Romania,0.0,0.1111111111111111,0.25,0.25
Spain,0.1111111111111111,0.0,0.1111111111111111,0.0
Brazil,0.1111111111111111,0.25,0.25,0.1111111111111111
Algeria,0.1111111111111111,0.25,-1,-1
Japan,0.0,0.0,0.0,0.1111111111111111
Czech Republic,0.0,0.25,0.0,0.0
Armenia,-1,0.1111111111111111,0.1111111111111111,0.1111111111111111
Cote D'Ivoire,-1,-1,-1,0.25
Italy,0.0,0.25,0.25,0.1111111111111111
France,0.0,0.0,0.25,0.0
Antarctica,0.1111111111111111,0.25,0.25,0.25
Macedonia,-1,-1,-1,0.0
Canada,0.1111111111111111,0.1111111111111111,0.25,0.1111111111111111
Portugal,-1,0.0,0.6666666666666666,0.1111111111111111
India,-1,-1,0.1111111111111111,0.1111111111111111
